Year,Month,Average Rainfall
1960,12,0.0
1961,1,0.07419354683870967
1961,2,0.7250000068214285
1961,3,0.0
1961,4,0.06666666666666667
1961,5,0.5483871121290322
1961,6,0.9333333293999999
1961,7,2.9290323028064513
1961,8,1.1193548325806453
1961,9,5.323333138266666
1961,10,0.0
1961,11,0.0
1961,12,0.0
1962,1,0.0
1962,2,0.0
1962,3,0.49032257451612904
1962,4,0.0
1962,5,0.0
1962,6,0.0
1962,7,6.154838669806452
1962,8,1.2193548371612903
1962,9,1.2099999587999999
1962,10,0.0
1962,11,0.0
1962,12,0.0
1963,1,0.0
1963,2,0.0
1963,3,0.06451612903225806
1963,4,0.0
1963,5,0.0
1963,6,0.5666666666666667
1963,7,0.8064516129032258
1963,8,4.870967726612903
1963,9,2.1333333333333333
1963,10,0.0
1963,11,0.0
1963,12,0.0
1964,1,0.0
1964,2,0.0
1964,3,0.0
1964,4,0.0
1964,5,1.0838709646774194
1964,6,0.8066666603333333
1964,7,3.6645162185161286
1964,8,5.880645115387097
1964,9,0.6500000079
1964,10,0.0
1964,11,0.0
1964,12,0.0
1965,1,0.4677419354838709
1965,2,0.135714284
1965,3,0.23870968048387098
1965,4,0.0
1965,5,0.0
1965,6,0.0
1965,7,5.974193496322581
1965,8,2.3870968355161293
1965,9,0.0
1965,10,0.0
1965,11,0.0
1965,12,0.0
1966,1,0.0
1966,2,0.03571428571428571
1966,3,0.0
1966,4,0.0
1966,5,0.06451612903225806
1966,6,1.419999981
1966,7,2.7064516235806453
1966,8,6.02903226083871
1966,9,1.5400000253333335
1966,10,0.0
1966,11,0.0
1966,12,0.0
1967,1,0.0
1967,2,0.0
1967,3,3.1354838958064515
1967,4,0.0
1967,5,0.40645162516129035
1967,6,2.6000000317
1967,7,3.787096784870968
1967,8,4.987096725096774
1967,9,4.306666586766667
1967,10,0.4451612964516129
1967,11,0.0
1967,12,0.2580645122903226
1968,1,0.0
1968,2,0.0
1968,3,0.0
1968,4,0.0
1968,5,0.6258064393548387
1968,6,0.0
1968,7,4.896774207354839
1968,8,0.5161290322580645
1968,9,0.0
1968,10,0.0
1968,11,0.0
1968,12,0.0
1969,1,0.43225805225806446
1969,2,0.0
1969,3,0.3354838587096774
1969,4,0.0
1969,5,0.0
1969,6,0.0
1969,7,0.27419354838709675
1969,8,1.3870967971612904
1969,9,0.9466666539999999
1969,10,0.0
1969,11,0.0
1969,12,0.0
1970,1,0.0
1970,2,0.19999999660714285
1970,3,0.0
1970,4,0.0
1970,5,0.5225806696774195
1970,6,1.6666666667333334
1970,7,1.9483871151612904
1970,8,13.68387093835484
1970,9,2.513333360233333
1970,10,0.0
1970,11,0.0
1970,12,0.0
1971,1,0.0
1971,2,0.0
1971,3,0.0
1971,4,0.0
1971,5,1.064516106064516
1971,6,1.5
1971,7,2.2903225806451615
1971,8,2.725806451612903
1971,9,1.1666666666666667
1971,10,0.0
1971,11,0.0
1971,12,0.0
1972,1,0.0
1972,2,0.06896551724137931
1972,3,0.0
1972,4,0.0
1972,5,0.0
1972,6,0.0
1972,7,0.5806451612903226
1972,8,6.999999994548387
1972,9,0.0
1972,10,0.0
1972,11,0.0
1972,12,0.0
1973,1,0.0
1973,2,0.12857142517857142
1973,3,0.0
1973,4,0.0
1973,5,0.0
1973,6,2.7333333333333334
1973,7,2.70967739583871
1973,8,12.709677334741935
1973,9,2.939999981766667
1973,10,0.0
1973,11,0.0
1973,12,0.0
1974,1,0.0
1974,2,0.0
1974,3,0.0
1974,4,0.06666666666666667
1974,5,0.41935483870967744
1974,6,1.2666666666666666
1974,7,3.9548387104516127
1974,8,0.3870967741935484
1974,9,0.059999998400000004
1974,10,0.16129032258064516
1974,11,0.0
1974,12,0.0
1975,1,0.0
1975,2,0.0
1975,3,0.0
1975,4,0.0
1975,5,0.0
1975,6,3.7366666315000003
1975,7,5.9483870653225805
1975,8,4.422580649741936
1975,9,7.210000022166667
1975,10,1.9032258007096774
1975,11,0.0
1975,12,0.0
1976,1,0.0
1976,2,0.29310344827586204
1976,3,0.0
1976,4,0.16666666666666666
1976,5,0.0
1976,6,0.0
1976,7,3.3741935606774196
1976,8,8.416128973709679
1976,9,7.0200000127
1976,10,0.0
1976,11,1.85
1976,12,0.0
1977,1,0.31612903841935486
1977,2,0.0
1977,3,0.0
1977,4,0.1933333397
1977,5,0.07741935648387097
1977,6,3.8733332554
1977,7,5.193548333129033
1977,8,2.012903213516129
1977,9,0.9533333460000001
1977,10,0.0
1977,11,0.0
1977,12,0.0
1978,1,0.0
1978,2,0.4071428562857143
1978,3,0.0
1978,4,0.23333333333333334
1978,5,0.0
1978,6,1.25
1978,7,5.632258053774194
1978,8,3.661290322580645
1978,9,1.0833333333333333
1978,10,0.0
1978,11,0.31666666666666665
1978,12,0.0
1979,1,0.0
1979,2,0.7857142857142857
1979,3,0.0
1979,4,0.0
1979,5,0.9032258064516129
1979,6,1.1333333333333333
1979,7,9.003225789709678
1979,8,4.803225920903226
1979,9,0.13333333333333333
1979,10,0.3225806451612903
1979,11,0.040000001599999994
1979,12,0.0
1980,1,0.06774193241935483
1980,2,0.006896551827586207
1980,3,0.0
1980,4,0.0
1980,5,0.2161290260967742
1980,6,2.373333345366667
1980,7,3.719354856483871
1980,8,0.05806451458064516
1980,9,1.1666666825
1980,10,0.0
1980,11,0.0
1980,12,0.5774193425483871
1981,1,0.26774194164516124
1981,2,0.0
1981,3,0.2838709662258065
1981,4,0.0
1981,5,0.15161290477419354
1981,6,0.13333333333333333
